"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"kurzemnieks",17,"med",17,0,1,11,17,0,0,1,"2009-11-24 16:54:56",1276,1,0,0,0,0
"paklang",1,"low",1,0,1,7,1,0,0,1,"2009-11-25 03:14:56",1275,1,0,0,0,0
"altyspa",1,"low",1,0,1,7,1,0,0,1,"2009-11-25 03:49:21",1275,1,0,0,0,0
"pongsa",1,"low",1,0,1,6,1,0,0,1,"2009-11-25 05:02:08",1275,1,0,0,0,0
"tomka",1,"low",1,0,1,5,1,0,0,1,"2009-11-25 06:59:43",1275,1,0,0,0,0
"metosaid",10,"med",10,0,1,8,10,0,0,1,"2009-11-25 08:30:59",1275,1,0,0,0,0
"spiros",4,"med",4,0,1,6,4,0,0,1,"2009-11-25 11:25:02",1275,1,0,0,0,0
"kobrary",1,"low",1,0,1,7,1,0,0,1,"2009-11-25 13:07:57",1275,1,0,0,0,0
"Roxianna",10,"med",10,0,1,8,10,0,0,1,"2009-11-25 13:35:23",1275,1,0,0,0,0
"midbaza",10,"med",10,0,1,7,10,0,0,1,"2009-11-25 13:46:15",1275,1,0,0,0,0
"uceng",1,"low",1,0,1,5,1,0,0,1,"2009-11-25 14:34:39",1275,1,0,0,0,0
"franciscodssmendes",1,"low",1,0,1,18,1,0,0,1,"2009-11-25 14:36:49",1275,1,0,0,0,0
"msesay",1,"low",1,0,1,6,1,0,0,1,"2009-11-25 17:37:24",1275,1,0,0,0,0
"CallaMae_Travis",8,"med",0,8,0,15,8,0,0,1,"2009-11-25 18:28:52",1275,1,0,0,0,0
"hungjunghua",1,"low",1,0,1,11,1,0,0,1,"2009-11-25 20:10:37",1275,1,0,0,0,0
"Kamellya",1,"low",1,0,1,8,1,0,0,1,"2009-11-25 23:22:25",1275,1,0,0,0,0
"DanHendricks",8,"med",8,0,1,12,8,0,0,1,"2009-11-26 00:17:21",1274,1,0,0,0,0
"aka_sulley",681,"power",530,151,0.778267254038179,10,560,0,121,0.822320117474302,"2009-12-02 16:59:58",1268,1,121,0,1,0
"Peace8077",15,"med",15,0,1,9,15,0,0,1,"2009-11-30 11:43:22",1270,1,0,0,0,0
"cruelangelboy",2,"med",2,0,1,13,2,0,0,1,"2009-11-27 09:53:04",1273,1,0,0,0,0
"emmamaria",22,"power",22,0,1,9,20,0,2,0.909090909090909,"2009-11-27 16:00:03",1273,1,2,0,1,0
"machspeed",1,"low",1,0,1,9,1,0,0,1,"2009-11-27 16:36:58",1273,1,0,0,0,0
"hendraulima",10,"med",10,0,1,11,10,0,0,1,"2009-11-27 17:20:44",1273,1,0,0,0,0
"Stephixy",2,"med",2,0,1,8,2,0,0,1,"2009-11-27 20:04:19",1273,1,0,0,0,0
"heiho1",10,"med",10,0,1,6,10,0,0,1,"2009-11-28 02:25:57",1272,1,0,0,0,0
"sasuke_fan291",1,"low",1,0,1,13,1,0,0,1,"2009-11-28 09:40:35",1272,1,0,0,0,0
"intnvs",26,"power",26,0,1,6,26,0,0,1,"2009-11-28 11:04:46",1272,1,0,0,0,0
"magibecks",3,"med",3,0,1,9,3,0,0,1,"2009-11-28 17:15:56",1272,1,0,0,0,0
"Tombula",1,"low",1,0,1,7,1,0,0,1,"2009-11-28 19:13:47",1272,1,0,0,0,0
"wildeflower1977",448,"power",312,136,0.696428571428571,15,250,0,198,0.558035714285714,"2009-11-30 14:59:38",1270,1,198,0,1,0
"alexw07",18,"med",11,7,0.611111111111111,7,18,0,0,1,"2009-11-29 02:32:05",1271,1,0,0,0,0
"Dianoc_Rica",14,"med",14,0,1,11,14,0,0,1,"2009-11-29 02:55:26",1271,1,0,0,0,0
"Tisheena_DubOis",1,"low",1,0,1,15,1,0,0,1,"2009-11-29 15:41:22",1271,1,0,0,0,0
"ronand",1,"low",1,0,1,6,1,0,0,1,"2009-11-29 18:23:10",1271,1,0,0,0,0
"sundeepyoung",1,"low",1,0,1,12,1,0,0,1,"2009-11-29 19:16:11",1271,1,0,0,0,0
"KenDavies",1,"low",1,0,1,9,1,0,0,1,"2009-11-29 21:10:03",1271,1,0,0,0,0
"parth1",10,"med",10,0,1,6,10,0,0,1,"2009-11-30 02:13:38",1270,1,0,0,0,0
"hristo_yordanov",1,"low",1,0,1,15,1,0,0,1,"2009-11-30 18:00:20",1270,1,0,0,0,0
"rocketdog",10,"med",10,0,1,9,10,0,0,1,"2009-11-30 18:27:49",1270,1,0,0,0,0
"libnotes",29,"power",10,19,0.344827586206897,8,29,0,0,1,"2009-12-01 02:00:38",1269,1,0,0,0,0
"mattmcd",10,"med",10,0,1,7,10,0,0,1,"2009-11-30 22:47:02",1270,1,0,0,0,0
"cwbrady",20,"med",20,0,1,7,17,0,3,0.85,"2009-12-01 22:52:28",1269,1,3,0,1,0
